Region,Technology,Hour,Fuel,value
DK,Battery,21,Power,0.0
DE,H2Tank,112,H2,81.80338491907094
DE,Battery,17,Power,0.0
DE,PHS,95,Power,0.0
NO,H2Tank,118,H2,12.416316468384
UK,Battery,15,Power,4.948515380623639
NO,H2Tank,19,H2,0.0
NO,Battery,37,Power,0.0
UK,PHS,88,Power,0.0
FR,PHS,14,Power,0.0
DK,PHS,52,Power,0.0
DE,PHS,16,Power,0.0
UK,H2Tank,55,H2,64.80722303083905
FR,H2Tank,75,H2,117.70113039581831
FR,Battery,112,Power,4.439573500342804
UK,H2Tank,35,H2,55.055409762252985
NO,PHS,43,Power,0.0
FR,H2Tank,111,H2,197.45404367819074
NO,Battery,32,Power,0.0
FR,Battery,69,Power,0.0
NO,H2Tank,83,H2,30.356441626476634
DK,PHS,36,Power,0.0
FR,PHS,9,Power,0.0
NO,H2Tank,23,H2,1.4442674175438597
UK,H2Tank,12,H2,44.32497768845582
DK,Battery,61,Power,11.89349178479071
FR,PHS,81,Power,0.0
UK,PHS,21,Power,0.0
UK,PHS,37,Power,0.0
DE,H2Tank,90,H2,131.3272063054026
FR,H2Tank,58,H2,196.09950207770157
DE,PHS,62,Power,0.0
DK,Battery,38,Power,7.2912339997131825
UK,Battery,81,Power,18.334198857084843
UK,PHS,113,Power,0.0
DK,Battery,92,Power,0.0
FR,Battery,59,Power,8.155704860087743
DE,PHS,37,Power,0.0
UK,PHS,91,Power,0.0
DE,H2Tank,6,H2,94.85992431652815
FR,PHS,20,Power,0.0
DE,PHS,21,Power,0.0
DE,Battery,79,Power,0.0
UK,Battery,4,Power,0.0
UK,PHS,63,Power,0.0
DK,Battery,59,Power,11.895870839999999
DK,PHS,107,Power,0.0
FR,Battery,102,Power,3.2631792183927995
NO,PHS,14,Power,0.0
NO,H2Tank,48,H2,3.6650771207602277
DK,H2Tank,25,H2,0.0
DE,Battery,12,Power,0.0
FR,PHS,112,Power,0.0
DE,PHS,78,Power,0.0
UK,PHS,118,Power,0.0
UK,Battery,56,Power,15.347314658530184
DE,Battery,97,Power,0.0
FR,H2Tank,47,H2,17.54385964912281
UK,PHS,33,Power,0.0
UK,PHS,55,Power,0.0
FR,H2Tank,70,H2,121.70596181760347
DK,Battery,32,Power,10.155312355376395
NO,Battery,4,Power,0.0
NO,H2Tank,38,H2,3.709985388888889
DK,H2Tank,64,H2,25.075125738437368
UK,Battery,113,Power,5.575481194829033
UK,PHS,3,Power,0.0
NO,H2Tank,18,H2,0.0
UK,H2Tank,62,H2,68.64193310833258
DK,PHS,85,Power,0.0
UK,H2Tank,100,H2,69.78869491622714
DK,Battery,25,Power,0.0
DK,PHS,71,Power,0.0
UK,PHS,84,Power,0.0
DE,PHS,58,Power,0.0
FR,Battery,36,Power,0.0
UK,H2Tank,102,H2,75.60101857736696
DK,PHS,5,Power,0.0
DE,Battery,111,Power,0.0
UK,Battery,51,Power,15.354990618493918
UK,H2Tank,51,H2,46.142878228040544
DE,PHS,89,Power,0.0
DK,Battery,117,Power,0.0
UK,PHS,114,Power,0.0
NO,H2Tank,13,H2,6.927028669378664
DE,PHS,119,Power,0.0
DE,Battery,57,Power,0.0
UK,PHS,10,Power,0.0
UK,Battery,11,Power,12.944562896366689
FR,PHS,115,Power,0.0
DE,H2Tank,47,H2,10.526315789473681
UK,Battery,88,Power,21.562408287170218
DE,Battery,92,Power,0.0
DK,PHS,118,Power,0.0
DE,PHS,117,Power,0.0
FR,Battery,89,Power,3.2674243223551396
NO,H2Tank,100,H2,5.187052230098742
DE,Battery,52,Power,0.0
UK,PHS,19,Power,0.0
DE,PHS,111,Power,0.0
UK,H2Tank,109,H2,56.50295767258731
DE,PHS,43,Power,0.0
DE,PHS,85,Power,0.0
FR,H2Tank,5,H2,111.59787930079744
DE,PHS,18,Power,0.0
FR,H2Tank,4,H2,120.31646986572515
DK,Battery,65,Power,9.73021278384117
UK,H2Tank,106,H2,75.60101857736691
FR,PHS,52,Power,0.0
NO,H2Tank,32,H2,0.0
DE,Battery,45,Power,0.0
DE,PHS,74,Power,0.0
NO,H2Tank,40,H2,3.7099853888888874
FR,Battery,107,Power,8.154073800672771
UK,Battery,61,Power,21.57103540715877
DE,Battery,105,Power,0.0
DK,Battery,80,Power,11.895870839999999
UK,Battery,101,Power,21.534393968910045
FR,Battery,99,Power,3.2641583679817074
UK,PHS,92,Power,0.0
DE,Battery,64,Power,0.0
DE,H2Tank,63,H2,122.58453848072331
FR,H2Tank,20,H2,36.01342826024929
UK,PHS,102,Power,0.0
FR,Battery,14,Power,4.892199658189645
NO,Battery,84,Power,0.0
NO,PHS,117,Power,0.0
NO,H2Tank,72,H2,13.352990296508304
UK,PHS,41,Power,0.0
UK,PHS,108,Power,0.0
FR,H2Tank,12,H2,101.04477027037998
DE,PHS,88,Power,0.0
DE,PHS,25,Power,0.0
DE,PHS,115,Power,0.0
DK,Battery,27,Power,0.0
DK,H2Tank,72,H2,8.731545855872387
DK,Battery,71,Power,4.406318720760963
DE,Battery,83,Power,0.0
DK,Battery,14,Power,1.5337356319798903
DK,Battery,43,Power,6.229094438483818
DE,H2Tank,18,H2,27.16112083589413
UK,Battery,74,Power,0.0
NO,H2Tank,22,H2,1.4442674175438597
DK,Battery,46,Power,6.227225897018877
FR,H2Tank,86,H2,262.2703184972321
NO,Battery,58,Power,0.0
UK,H2Tank,17,H2,22.747498765245385
DK,PHS,18,Power,0.0
UK,H2Tank,112,H2,41.35400755942944
NO,Battery,63,Power,0.0
NO,PHS,18,Power,0.0
NO,PHS,106,Power,0.0
UK,H2Tank,28,H2,4.931601096958046
DK,PHS,16,Power,0.0
UK,PHS,98,Power,0.0
FR,H2Tank,105,H2,249.273675357138
NO,Battery,20,Power,0.0
NO,PHS,75,Power,0.0
UK,H2Tank,60,H2,81.74227468026243
DE,Battery,13,Power,0.0
DK,PHS,27,Power,0.0
DK,Battery,101,Power,4.40896343756716
DE,H2Tank,59,H2,147.58927707146742
DE,Battery,70,Power,0.0
FR,PHS,7,Power,0.0
FR,H2Tank,28,H2,3.4403518515833325
FR,PHS,93,Power,0.0
NO,Battery,8,Power,0.0
DK,H2Tank,93,H2,17.82680569739321
NO,Battery,49,Power,0.0
UK,H2Tank,30,H2,13.114073454041081
FR,H2Tank,51,H2,6.91419275711553
NO,H2Tank,42,H2,3.7099853888888856
NO,Battery,87,Power,0.0
NO,Battery,30,Power,0.0
DE,Battery,110,Power,0.0
FR,PHS,79,Power,0.0
FR,H2Tank,2,H2,137.86032951484802
DE,Battery,3,Power,0.0
FR,H2Tank,82,H2,285.1389297501638
DK,PHS,29,Power,0.0
DK,Battery,64,Power,9.731185902431413
DK,Battery,60,Power,11.894681252916001
DE,Battery,7,Power,0.0
FR,H2Tank,16,H2,71.03121832564311
DE,Battery,102,Power,0.0
UK,H2Tank,76,H2,20.560949415388887
UK,Battery,40,Power,15.371891246861134
NO,PHS,7,Power,0.0
DK,Battery,24,Power,0.0
DE,H2Tank,4,H2,74.196427268311
FR,PHS,98,Power,0.0
FR,H2Tank,29,H2,15.361360794916658
FR,Battery,49,Power,0.0
NO,PHS,33,Power,0.0
DE,H2Tank,28,H2,0.0
UK,Battery,80,Power,11.862780056653241
FR,Battery,70,Power,0.0
DE,PHS,90,Power,0.0
DK,Battery,120,Power,5.9479354199999985
DE,H2Tank,98,H2,97.76563911277185
NO,Battery,41,Power,0.0
DE,Battery,112,Power,0.0
NO,PHS,46,Power,0.0
DE,PHS,55,Power,0.0
FR,Battery,23,Power,0.0
NO,PHS,90,Power,0.0
DE,H2Tank,55,H2,123.52926165246758
NO,Battery,116,Power,0.0
FR,PHS,92,Power,0.0
NO,Battery,59,Power,0.0
DE,Battery,21,Power,0.0
FR,Battery,87,Power,5.131902492297483
DK,PHS,77,Power,0.0
UK,H2Tank,103,H2,75.60101857736696
NO,Battery,13,Power,0.0
DK,PHS,120,Power,0.0
UK,PHS,7,Power,0.0
NO,H2Tank,64,H2,20.713532873572262
DE,PHS,35,Power,0.0
DE,PHS,72,Power,0.0
UK,PHS,25,Power,0.0
DE,PHS,69,Power,0.0
NO,Battery,103,Power,0.0
DE,PHS,6,Power,0.0
FR,Battery,78,Power,7.3326282573123
NO,Battery,12,Power,0.0
DE,H2Tank,70,H2,60.86708708242943
FR,Battery,3,Power,1.0559977669842253
FR,H2Tank,94,H2,196.7423930410915
NO,PHS,100,Power,0.0
NO,H2Tank,84,H2,29.4664509925585
NO,H2Tank,114,H2,2.20583131626927
FR,H2Tank,76,H2,146.3249052299732
DK,Battery,111,Power,0.0
FR,PHS,120,Power,0.0
